ID,EQUIPO,MARCA,MODELO,N/S,MAC,C/S,S/O,LICENCIA S/O,NOMBRE,CONTRASEÑA,PERIFERICOS,RAM (GB),DISCO (GB),PROCESADOR,IP,UBICACION,C. COSTO1,C. COSTO2,SEC,FECHA COMPRA,PROVEEDOR,N. FACTURA,ESTADO,FECHA DE BAJA,LICENCIA DE OFFICE,LICENCIA DE TECNOCARNE,FECHA DE M.PREVENTIVO,OBSERVACION
14,PERIFERICO,NO APLICA,havit,,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
15,PERIFERICO,,genius,,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
16,TODO EN UNO,LENOVO,lenovo YJN0S77210AC,YJ005US9,,,WIN 10 PRO,SI,AUXCONT1,,,4 GB,128 GB,INTEL PENTIUM,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,NO,NO,,
17,PERIFERICO,NO APLICA,genius KB100,UD19J2306855,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
18,PERIFERICO,NO APLICA,logitechM90,2010HS018KA8,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
19,EQUIPO DE ESCRITORIO,LENOVO,Au2,MJ23540,,,WIN 10 PRO,SI,VETERINARIO,,,8 GB,128 GB,INTEL I5,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,NO,SI,,
20,MONITOR,NO APLICA,samsung,MY22H9NS106162X,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
21,PERIFERICO,NO APLICA,maxell KB-90,3.20034E+13,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
22,PERIFERICO,LENOVO,lenovo SM50L21555,706E8910,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
23,TODO EN UNO,HP,20-C4051A,8CC9023TXV,,,WIN 10 PRO,SI,COMPRAS,,,4 GB,128 GB,INTEL I5,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,NO,SI,,
24,PERIFERICO,HP,KU1516,BGBYV0A9HBN20M,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
25,PERIFERICO,HP,MODGUO,FCYV0AHDBN3NR,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
26,PERIFERICO,LENOVO,LXH-EKB-10YA,51001895,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
27,PERIFERICO,LENOVO,SM-8825,1.50904E+11,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
28,MONITOR,HP,HP LV1911,6CM2180JZ6,,,,,N/A,,,4 GB,128 GB,INTEL I3,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
29,EQUIPO DE ESCRITORIO,HP,HP compaq elite 8300 small,MXL3232HR5,,,WIN 10 PRO,SI,CARTERA,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,NO,SI,,
30,PERIFERICO,LENOVO,Smart KB-100,UD19J2306854,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
31,IMPRESORA,BROTHER,MFC-L5900DW,U64203L9N301756,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
32,IMPRESORA,EPSON,EpsonL120,TNUK218142,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
33,TODO EN UNO,LENOVO,lenovoYJN0S77210AC,YJ005V0S,,,WIN 10 PRO,SI,TESORERA,,,4 GB,320 GB,INTEL PENTIUM,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,SI,NO,,
34,PERIFERICO,LENOVO,SM50L21555,704L5790,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
35,PERIFERICO,LENOVO,,,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
36,IMPRESORA,EPSON,C463B,S4VY187123,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
37,MONITOR,DELL,19M38H,705NTDV9W842,,,,,N/A,,,8 GB,1 TB,INTEL PENTIUM,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
38,EQUIPO DE ESCRITORIO,DELL,optiplex3040,30173624246,,,WIN 10 PRO,SI,CONTABILIDAD,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,NO,SI,,
39,PERIFERICO,,Genius KB115,,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
40,PERIFERICO,,DELL MS116C,ODMV3P,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
41,TODO EN UNO,,lenovo YJN0S77210AC,YJ005V2P,,,WIN 10 PRO,SI,RECAUDOS,,,4 GB,1 TB,INTEL PENTIUM,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,NO,SI,,
42,PERIFERICO,,SD50L21800,4312637,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
43,PERIFERICO,,,,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
44,IMPRESORA,,C462H,S25K328876,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
45,IMPRESORA,,LaserJetM1132 MFP,CNJ8F6V3S8,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
46,TODO EN UNO,,FOC08981,3.30714E+12,,,WIN 10 PRO,SI,BODEGA,,,4 GB,1 TB,INTEL PENTIUM,,NO APLICA,,,,,,,FUNCIONANDO 100 %,,NO,SI,,
47,PERIFERICO,,SMART KB100,UD21J2307085,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,NO APLICA,,,,,,,FUNCIONANDO 100 %,,,,,
48,PERIFERICO,,MODGUO,697738-001,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,NO APLICA,,,,,,,FUNCIONANDO 100 %,,,,,
49,IMPRESORA,,TERMICA,,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,NO APLICA,,,,,,,FUNCIONANDO 100 %,,,,,
50,TELEFONO IP,,X1SP,KCD3204007211,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,NO APLICA,,,,,,,FUNCIONANDO 100 %,,,,,
51,MONITOR,,HP V201,3CQ4112SRP,,,,,N/A,,,,128 GB,INTEL I3,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
52,EQUIPO DE ESCRITORIO,,,,,,WIN 10 PRO,SI,CALIDAD,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,NO,NO,,
53,PERIFERICO,,DX-120 Genius,X6J93285610584,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
54,PERIFERICO,,Genius,UD19J2308405,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
55,PERIFERICO,,SP-HF160,genius UJ1801518787,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
56,TODO EN UNO,,PQC 08929,03425-060-756-752,,,WIN 10 PRO,SI,SST,,,4 GB,1 TB,INTEL PENTIUM,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,NO,NO,,
57,PERIFERICO,,KB-128 Genius,XP18S2607907,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
58,PERIFERICO,,MSU1053,Hewlett Packard,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
59,PORTATIL,,20369,YB03503942,,,WIN 10 PRO,SI,AUXTALENTOH,,,4 GB,128 GB,INTEL I3,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,NO,NO,,
60,PERIFERICO,,Smart KB-100,GENIUS UD19J2306856,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
61,PERIFERICO,,DX-120,genius X0H95699522673,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
62,MONITOR,,lenovo E2054A,VKL62598,,,,,N/A,,,8 GB,1 TB,INTEL I7,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
63,PERIFERICO,,KU1601,357045,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
64,PERIFERICO,,SM-8823,1.70604E+11,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
65,EQUIPO DE ESCRITORIO,,V520S,PCON939M,,,WIN 10 PRO,SI,RECURSOSHUMANOS,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,NO,NO,,
66,IMPRESORA,,C462H,X34N426257,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
67,TELEFONO IP,,GXP1628,24UMK4UGB0A3574F,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
68,PORTATIL,,INSPIRON N4050,8985727549,,,WIN 10 PRO,SI,PUBLICIDAD,,,2 GB,128 GB,INTEL PENTIUM,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,NO,NO,,
69,PERIFERICO,,EZI,,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
70,EQUIPO DE SONIDO,,American sound,ASPX350UZD,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
71,EQUIPO DE SONIDO,,Profesional mixers,,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
72,TODO EN UNO,,Lenovo 310z,S1H05XDU,,,WIN 10 PRO,SI,CAJA01,,,4 GB,1 TB,INTEL I3,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,NO,SI,,
73,PERIFERICO,,Smart KB-100,Genius UD19J2308404,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,,,,
74,PERIFERICO,,MOIUDO,004RG0G 318,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,,,,
75,IMPRESORA,,Termica M244A,MXDF378680,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,,,,
76,MONITOR,,LED19EN33,,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,,,,
77,TODO EN UNO,,lenovo0020LS,S1001827,,,WIN 10 PRO,SI,CAJA02,,,4 GB,240 GB,INTEL I3,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,NO,SI,,
78,MONITOR,,LS19F350HNLXZL,ZZJCH4TH401808Z,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,,,,
79,PERIFERICO,,M388,JSMSCOMBON1712003649,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,,,,
80,PERIFERICO,,HV-KB378,KB20KB378YJN00547,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,,,,
81,IMPRESORA,, Termica M244A,MXDF378634,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,,,,
82,PISTOLA LECTORA (SACANNER),,LS1203,YP4H9D,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,,,,
83,TODO EN UNO,,CS0501240,CS02415469,,,WIN 10 PRO,SI,CAJA08,,,4 GB,500 GB,INTEL PENTIUM,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,NO,SI,,
84,PERIFERICO,,MODGUO,,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,,,,
85,PERIFERICO,,KB-128,XP18S2805010,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,,,,
86,IMPRESORA,,TERMICA,,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,,,,
87,PISTOLA LECTORA (SACANNER),,LS1203,YP4HYL,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,,,,
88,TODO EN UNO,,CS0403100G,CS01429257,,,WIN 10 PRO,SI,CEVICHES,,,4 GB,240 GB,INTEL PENTIUM,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,NO,SI,,
89,PERIFERICO,,MO-088,USB,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,,,,
90,PERIFERICO,,Genius KB-128,XP18S2805204,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,,,,
91,IMPRESORA,,Termica,,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,,,,
92,TELEFONO IP,,GXP1620,20EZ0KYF10768731,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,,,,
93,TODO EN UNO,,CS04011508,CS01357461,,,WIN 10 PRO,SI,CAJA09,,,4 GB,500 GB,INTEL PENTIUM,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,NO,SI,,
94,PERIFERICO,,,1.31206E+11,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,,,,
95,PERIFERICO,,PR1101U,697737-162,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,,,,
96,IMPRESORA,,Termica,,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,,,,
97,PISTOLA LECTORA (SACANNER),,-,,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,,,,
98,TODO EN UNO,,CS04011508,CS01357460,,,WIN 10 PRO,SI,CAJA07,,,4 GB,320 GB,INTEL PENTIUM,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,NO,SI,,
99,MONITOR,,V173,acer 81700187339,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,,,,
100,IMPRESORA,,TERMICA M244A,MXKF836906,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,,,,
101,TODO EN UNO,,CS0403040R,CS01419761,,,WIN 10 PRO,SI,CAJA06,,,4 GB,500 GB,INTEL PENTIUM,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,NO,SI,,
102,MONITOR,,,,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,,,,
103,IMPRESORA,,Termica M244A,MXDF374488,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,,,,
104,PERIFERICO,,genius,DX-120,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,,,,
105,PERIFERICO,,KB-128 genius,XP18S2607908,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,,,,
106,PERIFERICO,,,4413478,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,,,,
107,PERIFERICO,,SK2086,BGBYV0DUEZ1UL,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,,,,
108,PISTOLA LECTORA (SACANNER),,LB1203,YP4HY5,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,,,,
109,TODO EN UNO,,0004LS,S1H05TQB,,,WIN 10 PRO,SI,CAJA05,,,4 GB,1 TB,INTEL I3,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,NO,SI,,
110,IMPRESORA,,termica,,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,,,,
111,IMPRESORA,,Hp laser 107w,CNB3M4G83H,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,,,,
112,PERIFERICO,,SK-8823,2873976,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,,,,
113,TODO EN UNO,,0020LS,S1001RLL,,,WIN 10 PRO,SI,CAJA04,,,,,,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,NO,SI,,
114,IMPRESORA,,termica ,,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,,,,
115,IMPRESORA,,laser,,,,,,N/A,,,,,,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,,,,
116,PERIFERICO,,Genius Kb-128,XP18S2805009,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,,,,
117,PERIFERICO,,genius Xscroll,,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,,,,
118,PISTOLA LECTORA (SACANNER),,LS1203,YP2P4L,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,CAJAS VITRINA,,,,,,,FUNCIONANDO 100 %,,,,,
119,TELEFONO IP,,X1SP,KCD3204007214,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
120,TELEFONO IP,,X1SP,KCD3204007215,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
121,TELEFONO IP,,GXP1628,24UMK4UGB0A3575B,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
122,TODO EN UNO,,22-c042la,8CC0350400,,,WIN 10 PRO,SI,Gerencia,,,4 GB,128 GB,INTEL I5,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,NO,NO,,
123,PERIFERICO,,Y-R0035,2108SC10G328,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
124,PERIFERICO,,,Optical mouse,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
125,IMPRESORA,,C634D,X644006741,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
126,TELEFONO IP,,GXP1610,20EZ1QHKB018E1E3,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
127,EQUIPO DE ESCRITORIO,,think centre,MJ00S55G,,,WIN 10 PRO,SI,DESPOTERES,,,NO APLICA,NO APLICA,NO APLICA,,MODULO DESPOSTE,,,,,,,FUNCIONANDO 100 %,,NO,SI,,
128,MONITOR,,E2054A,VK649523,,,,,N/A,,,8 GB,128 GB,INTEL I5,,MODULO DESPOSTE,,,,,,,FUNCIONANDO 100 %,,,,,
129,IMPRESORA,,Termica Z-88AUL,zimpra19031200200048,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,MODULO DESPOSTE,,,,,,,FUNCIONANDO 100 %,,,,,
130,PERIFERICO,,MSU0923,FCYRV0E26C2EDG,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,MODULO DESPOSTE,,,,,,,FUNCIONANDO 100 %,,,,,
131,PERIFERICO,,Smart KB-100,Genius UD19J2306858,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,MODULO DESPOSTE,,,,,,,FUNCIONANDO 100 %,,,,,
132,IMPRESORA,,ZD420,D0N214101332,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,MODULO DESPOSTE,,,,,,,FUNCIONANDO 100 %,,,,,
133,EQUIPO DE ESCRITORIO,,Elite desk,,,,WIN 10 PRO,SI,DESPOSTECERDO,,,NO APLICA,NO APLICA,NO APLICA,,MODULO DESPOSTE,,,,,,,FUNCIONANDO 100 %,,NO,SI,,
134,MONITOR,,S19C150F,ZXTMH4LD902720M,,,,,N/A,,,8 GB,128 GB,INTEL I5,,MODULO DESPOSTE,,,,,,,FUNCIONANDO 100 %,,,,,
135,PERIFERICO,,KB57211,BDMHE0CHH7K9F5,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,MODULO DESPOSTE,,,,,,,FUNCIONANDO 100 %,,,,,
136,PERIFERICO,,3D optical mouse,,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,MODULO DESPOSTE,,,,,,,FUNCIONANDO 100 %,,,,,
137,IMPRESORA,,Termica ZD420,D0N214101145,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,MODULO DESPOSTE,,,,,,,FUNCIONANDO 100 %,,,,,
138,TELEFONO IP,,GXP1610,20EZ1QHKB018E1F6,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,MODULO DESPOSTE,,,,,,,FUNCIONANDO 100 %,,,,,
139,TELEFONO IP,,GXP1610,20EZ1QHKB018E1FC,,,,,N/A,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
140,MONITOR,,Dell ,8BZ7492,,,,,N/A,,,4 GB,128 GB,INTEL I5,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,,,,
141,EQUIPO DE ESCRITORIO,,HP Prodesk 600,MXL4212M3S,,,WIN 10 PRO,SI,CALL01,,,NO APLICA,NO APLICA,NO APLICA,,OFICINAS,,,,,,,FUNCIONANDO 100 %,,NO,SI,,
